"This spreadsheet details metadata that the project team created for each record in the overall dataset. It includes information on the data types, the region the data covers, the publisher, how to access the dataset and more. The data dictionary that defines what each column means can be found here.",,,,,,,,,,,,,,,,,,
uid,name,link to dataset,contains salary data,data type,file format(s),dates,date classification,government type,location county,location city,location state,publisher,data dictionary,public access,salary type,point of contact,first published date,last updated date
98,State of Oklahoma Payroll - 2013,https://catalog.data.gov/dataset/state-of-oklahoma-payroll-2013,all,structured,CSV,2013,fiscal year,state,na,na,OK,Office of Management and Enterprise Services,,yes,quarter salary,servicedesk@omes.ok.gov,2019-10-31,2021-09-22
99,State of Oklahoma Payroll - 2012,https://catalog.data.gov/dataset/state-of-oklahoma-payroll-2012,all,structured,CSV,2012,fiscal year,state,na,na,OK,Office of Management and Enterprise Services,no,yes,quarter salary,servicedesk@omes.ok.gov,2019-10-31,2021-09-22
100,State of Oklahoma Payroll - 2011,https://catalog.data.gov/dataset/state-of-oklahoma-payroll-2011,all,structured,CSV,2011,fiscal year,state,na,na,OK,Office of Management and Enterprise Services,no,yes,quarter salary,servicedesk@omes.ok.gov,2019-10-31,2021-09-22
101,State of Oklahoma Payroll - 2015,https://catalog.data.gov/dataset/state-of-oklahoma-payroll-2015,all,structured,CSV,2015,fiscal year,state,na,na,OK,Office of Management and Enterprise Services,no,yes ,quarter salary,servicedesk@omes.ok.gov,2019-10-31,2021-09-22
102,Multi-Survey Benchmark Jobs and Relationship to Market,https://catalog.data.gov/dataset/multi-survey-benchmark-jobs-and-relationship-to-market-3559b,all,structured,CSV,na,na,state,na,na,OK,Office of Management and Enterprise Services,no,yes,annual salary,na,2019-10-31,2019-10-31
103,Average Salary Market Comparison Trend ,https://catalog.data.gov/dataset/average-salary-market-comparison-trend-ff5e8,contains,structured,CSV,2005-2012,fiscal year,state,na,na,OK,Office of Management and Enterprise Services,no,yes,annual salary,na,2019-10-31,2019-10-31
104,Market Analysis by Agency,https://catalog.data.gov/dataset/market-analysis-by-agency-695fd,all,structured,CSV,2018,fiscal year,state,na,na,OK,Office of Management and Enterprise Services,no,yes,annual salary,na,2019-10-31,2019-10-31
105,Pay Band Average Salary,https://catalog.data.gov/dataset/pay-band-average-salary-0ca9a,all,structured,"CSV, RDF, JSON, XML",na,na,state,na,na,OK,Oklahomas Open Data,no,yes,annual salary,na,2019-10-31,2019-10-31
106,State of Oklahoma Payroll - 2018,https://catalog.data.gov/dataset/state-of-oklahoma-payroll-2018-2720e,all,structured,CSV,2018,fiscal year,state,na,na,OK,Office of Management and Enterprise Services,no,yes,quarter salary,servicedesk@omes.ok.gov,2019-10-31,2021-09-22
107,State of Oklahoma Payroll - fiscal year 2021,https://catalog.data.gov/dataset/state-of-oklahoma-payroll-fiscal-year-2021-6454c,all,structured,CSV,2021,fiscal year,state,na,na,OK,Oklahomas Open Data,no,yes,quarter salary,jackie.mckinley@omes.ok.gov,2021-06-17,2022-02-28
108,Demographic Reports,https://catalog.data.gov/dataset/demographic-reports,none,structured,PDF,na,calendar year,federal,na,na,na,Federal Retirement Thrift Investment Board,no,yes,na,Kim.Weaver@FRTIB.GOV,2019-12-31,2021-03-26
109,ONHIR Salaries and Expenses,https://catalog.data.gov/dataset/onhir-salaries-and-expenses,contains,structured,CSV,2016-2018,fiscal year,federal,na,na,na,Office of Navajo and Hopi Indian Relocation,no,yes,total compensation,dpratte@onhir.gov,na,2017-06-30
110,Budget - 2021 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2021-budget-ordinance-positions-and-salaries,contains,structured,"CSV, RDF, JSON, XML",2021,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,hourly rate,no-reply@data.cityofchicago.org,2020-11-24,2021-04-05
111,Allegheny County Employee Salaries,https://catalog.data.gov/dataset/allegheny-county-employee-salaries,all,structured,CSV,2016 - 2023,calendar year,county,Alleghany,na,MD,Allegheny County,no,yes,"salary, overtime, incentive",nichole.nagle@alleghenycounty.us,na,2023-01-19
112,Legacy City-Parish Employees,https://catalog.data.gov/dataset/legacy-city-parish-employees,all,structured,"CSV, RDF, XML, JSON",November 2018,calendar year,city,na,Baton Rouge,LA,data.brla.gov,no,yes,"salary, salary range, hourly rate, overtime hourly range",no-reply@data.brla.gov,2015-07-14,2023-05-16
113,City-Parish Employee Annual Salaries,https://catalog.data.gov/dataset/legacy-city-parish-employee-annual-salaries,all,structured,"CSV, RDF, XML, JSON",2008 - 2017,calendar year,city,na,Baton Rouge,LA,data.brla.gov,no,yes,"hourly rate, overtime hourly rate",no-reply@data.brla.gov,2018-02-05,2023-05-16
114,City parish employees,https://catalog.data.gov/dataset/city-parish-employees,all,structured,"CSV, RDF, XML, JSON",2018 - 2024,calendar year,city,na,Baton Rouge,LA,data.brla.gov,no,yes,"salary, salary range, hourly rate",no-reply@data.brla.gov,2020-01-09,2024-03-22
115,GTW.D.2.b - Percentage of employees who report competitiveness of salary,https://data.austintexas.gov/City-Government/Strategic-Measure_Listening-to-the-Workforce-2017-/cjhc-dg4q/about_data,none,structured,"CSV, RDF, XML, JSON, RSS, TSV for Excel",2017 - 2019,calendar year,city,na,Austin,TX,City of Austin Texas,no,yes,na,na,2020-09-08,2024-03-24
116,GTW.D.2.b_Percentage of employees who report competitiveness of salary,na,na,na,na,na,na,city,na,na,na,na,na,na,na,na,na,na
117,2015 City Employee Salary Schedule,https://catalog.data.gov/dataset/fy2015-city-employee-salary-schedule,all,structured,"CSV, RDF, XML, JSON",July 2014,na,city,na,Providence,RI,data.providenceri.gov,no,yes,salary range,no-reply@data.providenceri.gov,2014-09-30,2014-09-30
118,2014 City Employee Salary Schedule,https://catalog.data.gov/dataset/fy2014-city-employee-salary-schedule,all,structured,"CSV, RDF, XML, JSON",July 2013,na,city,na,Providence,RI,data.providenceri.gov,no,yes,salary range,no-reply@data.providenceri.gov,2013-07-17,2013-07-17
119,2013 City Employee Salary Schedule,https://catalog.data.gov/dataset/fy2013-city-employee-salary-schedule,all,structured,"CSV, RDF, XML, JSON",June 2013,na,city,na,Providence,RI,data.providenceri.gov,no,yes,salary range,no-reply@data.providenceri.gov,2013-06-27,2013-07-11
120,Salary Information for Local Development Corporations,https://catalog.data.gov/dataset/salary-information-for-local-development-corporations,all,structured,"CSV, RDF, XML, JSON",2015 - 2022,fiscal year,state,na,na,NY,State of New York,no,yes,"salary, overtime, bonus",opendata@its.ny.gov,2020-10-20,2023-10-30
121,Salary Information for State Authorities,https://catalog.data.gov/dataset/salary-information-for-state-authorities,all,structured,"CSV, RDF, XML, JSON",2015 - 2022,fiscal year,state,na,na,NY,State of New York,no,yes,"salary, overtime, bonus",opendata@its.ny.gov,2020-10-20,2023-10-31
122,Title and Salary Listing,https://catalog.data.gov/dataset/title-and-salary-listing,none,structured,"CSV, RDF, XML, JSON",1954 - 2022,na,state,na,na,NY,State of New York,no,yes,na,opendata@its.ny.gov,2022-03-17,2024-01-05
123,Broome County Annual Employee Earnings: Beginning 2009,https://catalog.data.gov/dataset/broome-county-annual-employee-earnings-beginning-2009,all,structured,"CSV, RDF, XML, JSON",2009 - 2024,fiscal year,county,Broome,na,NY,State of New York,no,yes,"salary, overtime",opendata@its.ny.gov,2024-03-06,2024-03-06
124,Occupational Employment and Wage Statistics,https://catalog.data.gov/dataset/occupational-employment-statistics,all,structured,"CSV, RDF, XML, JSON",na,na,state,na,na,NY,State of New York,no,yes,"median wage, mean wage",opendata@its.ny.gov,2020-07-07,2023-06-01
125,Salary Information for Local Authorities,https://catalog.data.gov/dataset/salary-information-for-local-authorities,all,structured,"CSV, RDF, XML, JSON",2015 - 2022,fiscal year,state,na,na,NY,State of New York,no,yes,"salary, bonus, overtime",opendata@its.ny.gov,2020-10-20,2023-10-30
126,Salary Information for Industrial Development Agencies,https://catalog.data.gov/dataset/salary-information-for-industrial-development-agencies,all,structured,"CSV, RDF, XML, JSON",2015 - 2022,fiscal year,state,na,na,NY,State of New York,no,yes,"salary, bonus, overtime",opendata@its.ny.gov,2020-10-20,2023-10-30
127,Current Employment Statistics: Beginning 1990,https://catalog.data.gov/dataset/current-employment-statistics-beginning-1990,none,structured,"CSV, RDF, XML, JSON",1990 - 2024,na,state,na,na,NY,State of New York,no,yes,na,opendata@its.ny.gov,2020-11-28,2024-03-08
128,Choose Maryland: Compare Counties - Workforce,https://catalog.data.gov/dataset/choose-maryland-compare-counties-workforce,contains,structured,"CSV, RDF, XML, JSON",November 2021,na,county,na,na,MD,opendata.maryland.gov,no,yes,average weekly wage,no-reply@opendata.maryland.gov,2018-07-12,2019-12-19
129,SHIP Affordable Housing 2010-2020,https://catalog.data.gov/dataset/ship-affordable-housing-2010-2016,none,structured,"CSV, RDF, XML, JSON",2010 - 2020,na,city,na,na,na,opendata.maryland.gov,no,yes,na,Tiffanie.Powell@maryland.gov,2019-03-13,2023-08-23
130,Choose Maryland: Compare Metros - Workforce,https://catalog.data.gov/dataset/choose-maryland-compare-metros-workforce,contains,structured,"CSV, RDF, XML, JSON",November 2021,na,city,na,na,na,opendata.maryland.gov,no,yes,median hourly wage,no-reply@opendata.maryland.gov,2018-06-18,2019-04-24
131,Choose Maryland: Compare States - Education,https://catalog.data.gov/dataset/choose-maryland-compare-states-education,contains,structured,"CSV, RDF, XML, JSON",2019,na,state,na,na,na,opendata.maryland.gov,no,yes,average salary,no-reply@opendata.maryland.gov,2018-06-18,2019-09-27
132,Salaries of Lottery Employees - Multi-Year Report,https://catalog.data.gov/dataset/salaries-of-lottery-employees-multi-year-report,all,structured,"CSV, RDF, XML, JSON",2016 - 2023,fiscal year,state,na,na,OR,data.oregon.gov,yes,yes,salary,no-reply@data.oregon.gov,2020-02-21,2023-10-02
133,Salaries of State Agencies - Multi-Year Report,https://catalog.data.gov/dataset/salaries-of-state-agencies-multi-year-report,all,structured,"CSV, RDF, XML, JSON",2010 - 2013,fiscal year,state,na,na,OR,data.oregon.gov,yes,yes,salary,no-reply@data.oregon.gov,2018-01-24,2024-01-02
134,Annual Salary 2010 thru 2013,https://catalog.data.gov/dataset/annual-salary-2010-thru-2013,all,structured,"CSV, RDF, XML, JSON",2010 - 2013,calendar year,state,na,na,WA,data.wa.gov,no,yes,salary,no-reply@data.wa.gov,2015-01-22,2015-01-22
135,Nuclear Medicine National Headquarter System,https://catalog.data.gov/dataset/nuclear-medicine-national-headquarter-system,na,na,na,2011 - 2024,na,federal,na,na,na,Department of Veterans Affairs,no,no,na,vhaopendata@va.gov,2017-07-26,2020-12-01
136,Civil List,https://catalog.data.gov/dataset/civil-list,all,structured,"CSV, RDF, XML, JSON","2014 - 2017, 2022",calendar year,city,na,New York,NY,data.cityofnewyork.us,yes,yes,salary rate,no-reply@data.cityofnewyork.us,2018-04-23,2023-05-05
137,Citywide Payroll Data (fiscal year),https://catalog.data.gov/dataset/citywide-payroll-data-fiscal-year,all,structured,"CSV, RDF, XML, JSON","2015 - 2016, 2020 -2022",fiscal year,city,na,New York,NY,data.cityofnewyork.us,yes,yes,"salary, overtime",no-reply@data.cityofnewyork.us,2023-11-28,2024-02-01
138,Position Schedule,https://catalog.data.gov/dataset/position-schedule,all,structured,"CSV, RDF, XML, JSON",2020 - 2024,na,city,na,New York,NY,data.cityofnewyork.us,yes,yes,"salary range, median salary, salary rate",no-reply@data.cityofnewyork.us,2020-07-09,2024-03-19
139,Local Law 18 Pay and Demographics Report - Agency Report Table,https://catalog.data.gov/dataset/local-law-18-pay-and-demographics-report-agency-report-table,all,structured,"CSV, RDF, XML, JSON",2018 - 2021,calendar year,city,na,New York,NY,data.cityofnewyork.us,yes,yes,salary range,no-reply@data.cityofnewyork.us,2022-05-31,2023-10-17
140,Spending Disclosure - fiscal year 2013,https://catalog.data.gov/dataset/spending-disclosure-fiscal-year-2013,none,structured,"CSV, RDF, XML, JSON",2013,fiscal year,county,Montgomery,na,MD,data.montgomerycountymd.gov,no,yes,na,no-reply@data.montgomerycountymd.gov,2013-09-03,2022-08-01
141,15 Spending Disclosure,https://catalog.data.gov/dataset/fy15-spending-disclosure,none,structured,"CSV, RDF, XML, JSON",2015,fiscal year,county,Montgomery,na,MD,data.montgomerycountymd.gov,no,yes,na,no-reply@data.montgomerycountymd.gov,2014-11-07,2022-08-01
142,Spending Disclosure - fiscal year 2012,https://catalog.data.gov/dataset/spending-disclosure-fiscal-year-2012,none,structured,"CSV, RDF, XML, JSON",2012,fiscal year,county,Montgomery,na,MD,data.montgomerycountymd.gov,no,yes,na,no-reply@data.montgomerycountymd.gov,2013-09-03,2022-08-12
143,Spending Disclosure - fiscal year 2014,https://catalog.data.gov/dataset/spending-disclosure-fiscal-year-2014,none,structured,"CSV, RDF, XML, JSON",2014,fiscal year,county,Montgomery,na,MD,data.montgomerycountymd.gov,no,yes,na,no-reply@data.montgomerycountymd.gov,2014-07-21,2022-08-01
144,Spending Disclosure - fiscal year 2011,https://catalog.data.gov/dataset/spending-disclosure-fiscal-year-2011,none,structured,"CSV, RDF, XML, JSON",2011,fiscal year,county,Montgomery,na,MD,data.montgomerycountymd.gov,no,yes,na,no-reply@data.montgomerycountymd.gov,2015-05-28,2022-08-01
145,Salary Schedule,https://catalog.data.gov/dataset/salary-schedule,all,structured,"CSV, RDF, JSON, XML", 2015 - 2020,fiscal year,county,Montgomery,na,MD,data.montgomerycountymd.gov,no,yes,Salary Range,no-reply@data.montgomerycountymd.gov,2020-02-19,2023-04-03
146,Average Salary by Job Classification ,https://catalog.data.gov/dataset/average-salary-by-job-classification,all,structured ,"CSV, RDF, JSON, XML", 2015 - 2020,fiscal year,county,Montgomery ,na,MD,data.montgomerycountymd.gov,no,yes,annual salary,no-reply@data.montgomerycountymd.gov,2020-06-10,2023-04-03
147,Employee Payroll,https://catalog.data.gov/dataset/employee-payroll,contains,structured ,"CSV, RDF, JSON, XML", 2016 - 2017,fiscal year,county,Cook,na,IL,datacatalog.cookcountyil.gov,no,yes,salary,no-reply@datacatalog.cookcountyil.gov,2018-06-25,2022-06-28
148,Comptroller - Annual Salaries - 2011 - September 22,https://catalog.data.gov/dataset/comptroller-annual-salaries-2011-september-22,contains,structured,"CSV, RDF, JSON, XML","Up to September 22, 2011",na,county,Cook,na,IL,datacatalog.cookcountyil.gov,no,yes,annual salary,no-reply@datacatalog.cookcountyil.gov,2014-10-09,2021-02-03
149,"CSV, RDF, JSON, XML",https://catalog.data.gov/dataset/comptroller-annual-salaries-2011-september-16,contains,structured ,"CSV, RDF, JSON, XML","Up to September 16, 2011",na,county,Cook,na,IL,datacatalog.cookcountyil.gov,no,yes,"
annual salary",no-reply@datacatalog.cookcountyil.gov,2014-10-09,2021-02-03
150,Comptroller - Annual Salaries - 2014 - August 28,https://catalog.data.gov/dataset/comptroller-annual-salaries-2014-august-28,contains,structured,"CSV, RDF, JSON, XML","Up to August 28, 2014",na,county,Cook,na,IL,datacatalog.cookcountyil.gov,no,yes,"
annual salary",no-reply@datacatalog.cookcountyil.gov,2016-01-21,2021-02-03
151,Comptroller - Annual Salaries - 2013,https://catalog.data.gov/dataset/comptroller-annual-salaries-2013,contains,structured," 
 	
CSV, RDF, JSON, XML","Up to March 5, 2013",na,county,Cook,na,IL,datacatalog.cookcountyil.gov,no,yes,"
annual salary",no-reply@datacatalog.cookcountyil.gov,2014-10-09,2021-02-03
152,Comptroller - Annual Salaries - 2015 - November 24,https://catalog.data.gov/dataset/comptroller-annual-salaries-2015-november-24,contains,structured," 
 	
CSV, RDF, JSON, XML","Up to  November 24, 2015",na,county,Cook,na,IL,datacatalog.cookcountyil.gov,no,yes,"
annual salary",no-reply@datacatalog.cookcountyil.gov,2016-01-21,2021-02-03
153,"Current Employee Names, Salaries, and Position Titles",https://catalog.data.gov/dataset/current-employee-names-salaries-and-position-titles,contains,structured," 
 	
CSV, RDF, JSON, XML",Present,na,city,na,Chicago,IL,data.cityofchicago.org,no,yes,"hourly, annual salary",no-reply@data.cityofchicago.org,2018-01-30,2024-04-05
154,Budget - 2016 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2016-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2016,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2015-09-21,2015-09-22
155,Budget - 2017 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2017-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2017,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2016-11-15,2016-11-16
156,Budget - 2020 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2020-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2020,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2019-11-21,2019-11-26
157,Budget - 2012 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2012-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2012,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2011-10-13,2011-10-17
158,Budget - 2014 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2014-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2014,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2013-10-23,2013-10-23
159,Budget - 2020 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2020-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2020,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2019-10-23,2019-10-23
160,Budget - 2016 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2016-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2016,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2015-10-29,2015-10-29
161,Budget - 2019 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2019-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2019,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2018-10-15,2018-10-17
162,Budget - 2013 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2013-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2013,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2012-10-10,2012-10-10
163,Budget - 2011 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2011-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2011,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2011-05-26,2012-10-10
164,Budget - 2015 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2015-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2015,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2014-10-16,2014-10-16
165,Budget - 2015 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2015-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2015,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2014-11-19,2014-11-19
166,Budget - 2014 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2014-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2014,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2013-12-05,2014-11-19
167,Budget - 2018 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2018-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2018,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2017-10-17,2017-10-18
168,Budget - 2017 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2017-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2017,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2016-10-11,2017-10-16
169,Budget - 2018 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2018-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2018,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2017-11-22,2017-11-22
170,Budget - 2019 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2019-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2019,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2018-11-15,2018-11-15
171,Budget - 2021 Budget Recommendations - Positions and Salaries,https://catalog.data.gov/dataset/budget-2021-budget-recommendations-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2021,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2020-10-15,2020-10-20
172,Budget - 2013 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2013-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2013,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2012-11-29,2013-07-25
173,Budget - 2012 Budget Ordinance - Positions and Salaries,https://catalog.data.gov/dataset/budget-2012-budget-ordinance-positions-and-salaries,contains,structured," 
 	
CSV, RDF, JSON, XML",2012,fiscal year,city,na,Chicago,IL,data.cityofchicago.org,no,yes,budgeted annual salary,no-reply@data.cityofchicago.org,2011-12-23,2012-10-10
174,"Foreign Affairs Manual (3 FAM) - 3 FAM 3100 COMPENSATION, section 3120 FOREIGN SERVICE AND CIVIL SERVICE SALARIES",https://catalog.data.gov/dataset/foreign-affairs-manual-3-fam-3-fam-3100-compensation-section-3120-foreign-service-and-civi,none,na,HTML,1980,fiscal year,federal,na,na,na,U.S. Department of State,no,yes,na,KottmyerAM@state.gov,1980,2009-12-07
175,Office of Hearings and Appeals Decisions and Orders,https://www.hud.gov/program_offices/hearings_appeals/cases,none,collection,HTML,na,na,federal,na,na,na,U.S. Department of Housing and Urban Development,no,yes,na,202-708-1112,na,2020-10-09
176,Federal Funds,https://www.ers.usda.gov/data-products/federal-funds/,none,collection,ZIP,2004-2010,fiscal year,federal,na,na,na,"Economic Research Service, Department of Agriculture",no,yes,na,na,2019-03-26,2019-03-26
177,"Census of Public Defender Offices: State Programs, 2007",https://www.icpsr.umich.edu/web/NACJD/studies/29501/versions/V1,none,na,HTML,2007,fiscal year,federal,na,na,na,Bureau of Justice Statistics,no,yes,na,na,2011-05-13,2011-05-13
178,"Census of Public Defender Offices: County-Based and Local Offices, 2007",https://www.icpsr.umich.edu/web/NACJD/studies/29502/versions/V1,none,na,HTML,2007,fiscal year,federal,na,na,na,Bureau of Justice Statistics ,no,yes,na,na,2011-05-13,2011-05-13
